source,dataset,examples,case_score
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.72
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.6
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.55
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.3
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.45
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.91
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.85
Synthetic,titanic,ex0,0.55
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.5
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.9
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.05
Synthetic,titanic,ex0,0.15
Synthetic,titanic,ex0,0.1
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.95
Synthetic,titanic,ex0,0.15
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.92
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.88
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.45
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.6
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.7
Synthetic,diabetic,ex0,0.75
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.72
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.6
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.7
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.08
Synthetic,diabetic,ex0,0.75
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.91
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.75
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.6
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.7
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.72
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.35
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.6
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.55
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.3
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.92
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.91
Synthetic,diabetic,ex0,1.0
Synthetic,diabetic,ex0,0.85
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.6
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.75
Synthetic,diabetic,ex0,0.1
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.05
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.5
Synthetic,diabetic,ex0,0.7
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.15
Synthetic,diabetic,ex0,0.95
Synthetic,diabetic,ex0,0.9
Synthetic,diabetic,ex0,0.05
Synthetic,nlp,ex0,0.91
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.72
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.9
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.6
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.9
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.65
Synthetic,nlp,ex0,0.6
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.9
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.08
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.25
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.9
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.35
Synthetic,nlp,ex0,0.55
Synthetic,nlp,ex0,0.55
Synthetic,nlp,ex0,0.9
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.91
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.95
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.1
Synthetic,nlp,ex0,0.85
Synthetic,nlp,ex0,0.5
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.05
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.6
Synthetic,nlp,ex0,0.15
Synthetic,nlp,ex0,0.9
